DSCPRD.IN                                                        DATE:   3/07/16
                          DISCOUNT SCHEDULES AND PRICES          PAGE:         1
                              FOR RETAIL PRODUCTS                               


                                          PKG               DISCOUNT     CURRENT
PRD #            DESCRIPTION              SIZE      UOM    SCHEDULE #     PRICE 
=====  ===============================    =====     ===    ==========    =======
1546   AUTHORITY FIRST DF                 4X5       LB          0         75.550
1548   AUTHORITY MTZ                      4X6.25    LB          0         15.850
1549   AVID 0.15EC                        4X1       GAL         0        595.000
1563   9/13 AXCESS                        1X2.5     GAL         0        609.500
1564   AXIAL XL                           2X2.56    GAL         0        120.330
1566   AXIAL STAR                         2X2.5     GAL         0        138.840
1569   AUTUMN SUPER 51 WDG                10X20     OZ          0         20.140
1570   AVICTA COMPLETE SOYBEAN            30GAL     GAL         0        504.480
1573   9/14 BAIT STATION (RAT) - AEGIS    1EA       EA          0          9.700
1574   AVID + HERITAGE MULTIPAK           1EA       CS          0      2,600.000
1580   BALANCE PRO                        6X45      FOZ         0          7.490
1580   BALANCE PRO                        6X45      FOZ         0          7.150
1639   BANNER MAXX II                     2X1       GAL         0        214.000
1640   BANNER MAXX II LINKPAK (RTN)       10GAL     GAL         0        206.000
1641   9/12 BANNER MAXX LINKPAK (RTN)     10GAL     GAL         0        206.000
1645   BANOL                              2X2.5     GAL         0        370.000
1650   BARRICADE 65WG DRUM                80LB      LB          0         20.250
1651   9/11 BARRICADE 65WG PLT PAK (32    1EA       EA          0      5,440.000
1652   BARRICADE 4FL LINKPAK (RTN)        10GAL     GAL         0        137.000
1653   BARRICADE 4FL                      4X1       GAL         0        142.000
1654   BARRICADE 4FL                      30GAL     GAL         0        111.040
1654   BARRICADE 4FL                      30GAL     GAL         0        118.750
1655   BARRICADE 65WG                     4X5       LB          0         20.250
1656   9/14 BARRICADE 65WG                5X10      LB          0         19.150
1657   BARRIER 4G                         50LB      LB          0          2.800
1661   9/14 BASF FOUNDATION CUBE          1EA       EA          0     24,400.000
1662   9/14 BASF GREENS CUBE              1EA       EA          0      4,930.000
1663   9/14 BASF HONOR YOUR FAIRWAY CU    1EA       EA          0     35,000.000
1664   9/14 BASF INSIGNITY CUBE           1EA       EA          0      5,780.000
1665   9/14 BASF MINI CUBE                1EA       EA          0      4,190.000
1666   9/14 BASF NATURALIZED AREA CUBE    1EA       EA          0      2,990.000
1667   9/14 BASF RESILIENCE CUBE          1EA       EA          0     14,350.000
1668   9/13 BASF GREENS PALLET A          1EA       EA          0      5,710.000
1669   9/13 BASF GREENS PALLET B          1EA       EA          0      5,250.000
1672   9/13 BASF INSIGNIA SC/TRINITY P    1EA       EA          0      5,805.000
1673   9/13 BASF FAIRWAY SEASON PALLET    1EA       EA          0     14,740.000
1688   9/14 BASAMID GRANULAR (RUP)        50LB      LB          0          7.100
1692   BASIS                              8X10      OZ          0         17.870
1696   9/06 BASIS GOLD                    17.5LB    LB          0         15.780
1701   BAYLETON FLO FUNGICIDE             2X2.5     GAL         0        600.000
1707   9/15 BAYLETON 50 TURF MINI (50X    1EA       DRM         0      2,580.000
1709   BAYER WARM SEASON HERBICIDE PAK    1EA       EA          0      5,000.000
1710   BAYER ESSENTIALS PAK               1EA       EA          0     16,500.000
1711   BAYER BERMUDAGRASS PAK             1EA       EA          0      6,250.000
1712   BAYER GREENS PAK                   1EA       EA          0      6,000.000
1713   BAYER STRESSGARD PAK               1EA       EA          0      4,600.000
1714   BAYER FAIRWAY PAK                  1EA       EA          0     11,500.000
1715   9/14 BAYER PERFORMANCE PLUS PAK    1EA       EA          0     10,750.000
1716   9/14 BAYER SNOW MOLD PAK           1EA       EA          0      2,400.000
1719   BAYER PYTHIUM PAK                  1EA       EA          0      4,000.000
DSCPRD.IN                                                        DATE:   3/07/16
                          DISCOUNT SCHEDULES AND PRICES          PAGE:         3
                              FOR RETAIL PRODUCTS                               


                                          PKG               DISCOUNT     CURRENT
PRD #            DESCRIPTION              SIZE      UOM    SCHEDULE #     PRICE 
=====  ===============================    =====     ===    ==========    =======
1720   BAYER SUMMER PAK                   1EA       EA          0      4,650.000
1722   BAYER SEASON PAK                   1EA       EA          0     28,500.000
1723   BAYTHROID XL                       120GAL    GAL         0        314.900
1726   BAYTHROID XL                       8X.5      GAL         0        314.900
1750   BELEAF 50 SG                       6X1.5     LB          0        162.060
1884   BIFENTURE 10DF                     4X5       LB          0         17.660
1889   BIFENTURE 2EC                      15GAL     GAL         0         99.000
1893   9/15 BIO-FORGE                     2X2.5     GAL         0         91.500
1897   BIOMIST 4 + 4                      2X2.5     GAL         0         59.100
1899   BIOMIST 4 + 4                      55GAL     GAL         0         58.600
1902   9/15 BIO-FORGE ST                  2X2.5     GAL         0        232.600
1936   9/15 BLANKET 75 WDG                2X10      LB          0         23.630
1947   9/14 BREAKFREE                     250GAL    GAL         0         53.560
1948   BREAKFREE ATZ                      250GAL    GAL         0         30.080
1949   BREAKFREE ATZ LITE                 250GAL    GAL         0         34.710
1950   9/13 BOLSTER 15G SMARTBOX          50LB      LB          0          2.500
1952   9/14 BREAKFREE VMI                 BULK      GAL         0         51.500
1953   BREAKFREE ATZ LITE-VMI             BULK      GAL         0         32.650
1954   BREAKFREE ATZ-VMI                  BULK      GAL         0         28.020
1955   9/14 BREAKFREE                     BULK      GAL         0         51.500
1956   BREAKFREE ATZ                      BULK      GAL         0         28.020
1957   BREAKFREE ATZ LITE-RMI             BULK      GAL         0         32.650
1958   9/05 BLAZER                        2X2.5     GAL         0         61.880
1969   BRAWL II ATZ                       220GAL    GAL         0         40.250
1973   9/12 BOOTHILL BLOCKS               12X1      LB          0          3.460
1973   9/12 BOOTHILL BLOCKS               12X1      LB          0          3.460
1975   BORON 10%                          2X2.5     GAL         0         14.190
1980   BROX AT                            2X2.5     GAL         0         11.850
1982   9/12 BOOTHILL PELLETS(4X75X1.5/    75X1.5    OZ          0           .330
1982   9/12 BOOTHILL PELLETS(4X75X1.5/    75X1.5    OZ          0           .330
1993   BUCTRIL 2EC                        2X2.5     GAL         0         71.630
1993   BUCTRIL 2EC                        2X2.5     GAL         0         69.200
1993   BUCTRIL 2EC                        2X2.5     GAL         0         59.310
1994   BRONATE ADVANCED                   2X2.5     GAL         0         33.890
1995   BUCTRIL + ATRAZINE                 2X2.5     GAL         0         42.990
1995   BUCTRIL + ATRAZINE                 2X2.5     GAL         0         11.850
1996   9/15 BREWER 90-10                  30GAL     GAL         0         20.100
1997   BUCCANEER                          110GAL    GAL         0         11.750
1997   BUCCANEER                          110GAL    GAL         0          9.440
1998   BULLET                             BULK      GAL         0         27.320
1999   BUCCANEER                          30GAL     GAL         0         10.650
2001   BULLET                             2X2.5     GAL         0         28.740
2006   BROMOX + ATRAZINE                  2X2.5     GAL         0         11.850
2007   BROMOX 2E                          2X2.5     GAL         0         41.100
2008   BUCCANEER PLUS                     30GAL     GAL         0         16.440
2009   BUCCANEER PLUS                     110GAL    GAL         0         12.000
2009   BUCCANEER PLUS                     110GAL    GAL         0         13.660
2010   BUCCANEER PLUS                     120GAL    GAL         0         12.000
2011   BUCCANEER PLUS                     220GAL    GAL         0         12.000
2012   BUCCANEER                          220GAL    GAL         0         11.750
DSCPRD.IN                                                        DATE:   3/07/16
                          DISCOUNT SCHEDULES AND PRICES          PAGE:         4
                              FOR RETAIL PRODUCTS                               


                                          PKG               DISCOUNT     CURRENT
PRD #            DESCRIPTION              SIZE      UOM    SCHEDULE #     PRICE 
=====  ===============================    =====     ===    ==========    =======
2012   BUCCANEER                          220GAL    GAL         0         13.450
2013   BUCCANEER PLUS                     MBULK     GAL         0          9.910
2015   9/12 BUCCANEER PLUS                250GAL    GAL         0         12.000
2015   9/12 BUCCANEER PLUS                250GAL    GAL         0          9.910
2016   BUCCANEER                          250GAL    GAL         0         13.870
2016   BUCCANEER                          250GAL    GAL         0         11.500
2019   BRISKWAY FUNGICIDE                 2X1       GAL         0      1,290.000
2025   BRAVO ULTREX                       27.4LB    LB          0          5.780
2027   9/14 BRAVO ZN                      BULK      GAL         0         25.340
2028   BRAVO ZN                           2X2.5     GAL         0         28.900
2036   9/14 BUGITOL                       2X2.5     GAL         0         93.500
2067   CALLISTO XTRA                      2X2.5     GAL         0         79.800
2067   CALLISTO XTRA                      2X2.5     GAL         0         68.500
2068   CALLISTO XTRA                      120GAL    GAL         0         68.500
2068   CALLISTO XTRA                      120GAL    GAL         0         79.800
2073   9/14 CABRIO PLUS                   40LB      LB          0          7.950
2082   CALLISTO XTRA                      220GAL    GAL         0         68.500
2082   CALLISTO XTRA                      220GAL    GAL         0         79.800
2085   CALYPSO                            4X1       GAL         0        766.720
2103   9/15 CAPTAN 50WP                   10X5      LB          0          3.800
2103   9/15 CAPTAN 50WP                   10X5      LB          0          3.800
2111   CAPTURE LFR                        110GAL    GAL         0        312.900
2118   CELSIUS WG HERBICIDE               8X10      OZ          0          9.340
2123   9/11 CAMIX ENHANCED                BULK      GAL         0         62.650
2130   CELL-TECH SOYBEAN                  4X1       CTN         0         74.490
2134   CELL-TECH SOYBEAN                  1CTN      CTN         0        273.200
2141   9/14 EMPTY-110 (CB METH SOY-STI    110GAL    TNK         0          1.000
2146   9/12 CHATEAU WDG                   4X2.5     LB          0        100.000
2147   CHATEAU SW                         4X2.5     LB          0        107.300
2162   9/13 CHAMP FORMULA 2 FLOWABLE      2X2.5     GAL         0         45.900
2173   9/12 CLASSIC                       8X5       OZ          0         14.100
2173   9/12 CLASSIC                       8X5       OZ          0         12.270
2181   CHAPARRAL                          4X5       LB          0         81.520
2184   9/12 CHLORPYRIFOS E-PRO 2 (RUP)    2X2.5     GAL         0         44.950
2186   9/12 CHARTER ACQUIRE AXCESS KIT    1EA       EA          0      6,911.090
2190   CHARTER F2                         2X2.5     GAL         0         66.130
2191   CHARTER F2                         200GAL    GAL         0         66.130
2194   COLOR COAT BLUE (BASF)             30GAL     GAL         0         69.740
2196   9/15 CLEARCAST 2.7G HERBICIDE      40LB      BAG         0        338.000
2204   COMITE II                          2X2.5     GAL         0         60.310
2206   COLOR COAT RED (BASF)              15GAL     GAL         0         75.740
2221   9/15 CIMARRON MAX (30GAL + 60OZ    CS        CS          0      1,867.740
2222   9/15 CIMARRON MAX (5X3LB+120GAL    EA        EA          0      3,960.000
2227   COBALT                             55GAL     GAL         0         48.000
2229   9/12 CRUISERMAXX CEREALS           2X2.5     GAL         0         88.000
2230   9/12 CRUISERMAXX CEREALS           15GAL     GAL         0         83.000
2233   COBALT                             120GAL    GAL         0         52.500
2233   COBALT                             120GAL    GAL         0         49.300
2236   9/12 CRUISERMAXX PLUS              15GAL     GAL         0        521.500
2238   CONCERT II FUNGICIDE               2X2.5     GAL         0         76.000
DSCPRD.IN                                                        DATE:   3/07/16
                          DISCOUNT SCHEDULES AND PRICES          PAGE:         5
                              FOR RETAIL PRODUCTS                               


                                          PKG               DISCOUNT     CURRENT
PRD #            DESCRIPTION              SIZE      UOM    SCHEDULE #     PRICE 
=====  ===============================    =====     ===    ==========    =======
2240   CONTANS WG                         1X25      LB          0         19.300
2256   9/12 CORSAIR                       4X2OZ     OZ          0         45.100
2257   CORNBELT LINKAGE                   2X2.5     GAL         0         18.800
2272   9/15 CRITERION 75 WSP (4X4X1.6     4X4X1.    OZ          0          3.720
2280   9/11 COUNTER 15G SMART BOX         50LB      LB          0          2.540
2281   9/12 COUNTER 15G "LNL"             40LB      LB          0          2.390
2306   TURF KING 22-5-8 W/50%XCU &6%FE    50LB      BAG         0         28.690
2311   TURF KING 18-24-12 50% XCU         50LB      BAG         0         26.070
2316   LAWN KING 30-3-5                   50LB      BAG         0         18.920
2355   CB 20% PREMIUM COC                 BULK      GAL         0          7.900
2355   CB 20% PREMIUM COC                 BULK      GAL         0          7.940
2358   9/15 CB 20% PREMIUM COC            110GAL    GAL         0          8.660
2358   9/15 CB 20% PREMIUM COC            110GAL    GAL         0          8.450
2359   CB 20% PREMIUM COC                 5GAL      GAL         0         10.980
2360   CB 17% CROP OIL CONCENTRATE        BULK      GAL         0          5.630
2363   CB 20% PREMIUM COC                 120GAL    GAL         0         10.720
2366   9/15 CB 17% CROP OIL CONCENTRAT    110GAL    GAL         0          8.160
2381   CB TRIFLURALIN EC - RTN            110GAL    GAL         0         21.570
2382   CB TRIFLURALIN EC - NON RTN        110GAL    GAL         0         19.640
2384   CB TRIFLURALIN EC - RTN            120GAL    GAL         0         25.650
2385   CB TRIFLURALIN EC - REPKG          MBULK     GAL         0         22.440
2396   CRUISER 5FS/DIVIDEND EXTREME       1EA       PLT         0      2,255.670
2398   9/12 CRUISERMAXX CEREALS           110GAL    GAL         0         83.000
2411   9/12 CUTLESS 50W-WSP               4X8X2     OZ          0         11.420
2422   9/12 CUTRINE PLUS LIQUID           5GAL      GAL         0         24.350
2424   9/04 BALANCE WDG (12X1.25)         12X1.2    LB          0        138.400
2572   9/15 DACONIL 5G                    25LB      LB          0          1.660
2573   DACONIL WEATHER STIK               2X2.5     GAL         0         58.500
2574   DACONIL ZN                         2X2.5     GAL         0         48.000
2575   DACONIL ULTREX                     4X5       LB          0          8.950
2576   DACONIL ULTREX                     4X10      LB          0          8.500
2577   DACONIL ACTION FUNGICIDE           2X2.5     GAL         0         74.000
2594   9/14 DAZITOL                       2X2.5     GAL         0         99.000
2595   DANITOL 2.4 EC                     4X1       GAL         0        168.600
2596   DACONIL ACTION+BANNER MAXX PAK     1EA       CS          0        330.000
2597   DACONIL ACTION+HERITAGE PAK        1EA       CS          0        690.000
2598   DACONIL ACTION + APPEAR PAK        1EA       CS          0        294.000
2605   9/14 DEADLINE BULLETS              50LB      LB          0          2.110
2606   DEADLINE M-P'S (MINI-PELLETS)      50LB      LB          0          1.910
2647   9/11 DEGREE                        BULK      GAL         0         49.110
2779   9/14 DIAZINON AG500                2X2.5     GAL         0         41.170
2813   DICAMBA (TACOMA LABEL)             250GAL    GAL         0         67.350
2813   DICAMBA (TACOMA LABEL)             250GAL    GAL         0         69.950
2816   DICAMBA (TACOMA LABEL)             2X2.5     GAL         0         69.950
2816   DICAMBA (TACOMA LABEL)             2X2.5     GAL         0         69.950
2821   DIMENSION .25% DG PRO (150 SGN)    50LB      BAG         0         36.200
2822   DIMENSION 2EW (2 LB./GAL.)         2X2.5     GAL         0        263.240
2826   9/14 DIMENSION 2EW + DEFENDOR C    CS        CS          0      1,050.000
2836   DIPEL DF                           30X1LB    LB          0         13.700
2837   DIPEL ES                           2X2.5     GAL         0         39.000
DSCPRD.IN                                                        DATE:   3/07/16
                          DISCOUNT SCHEDULES AND PRICES          PAGE:         6
                              FOR RETAIL PRODUCTS                               


                                          PKG               DISCOUNT     CURRENT
PRD #            DESCRIPTION              SIZE      UOM    SCHEDULE #     PRICE 
=====  ===============================    =====     ===    ==========    =======
2838   DIPEL DF                           6X5       LB          0         12.600
2838   DIPEL DF                           6X5       LB          0          9.700
2843   DISCOVER NG                        2X2.5     GAL         0        153.810
2921   DIMETHOATE 4E (ARYSTA LABEL)       55GAL     GAL         0         39.510
2922   DIMETHOATE 4E (ARYSTA LABEL)       2X2.5     GAL         0         42.010
2922   DIMETHOATE 4E (ARYSTA LABEL)       2X2.5     GAL         0         42.010
2926   DIMETHOATE 4E (DREXEL LABEL)       2X2.5     GAL         0         42.510
2926   DIMETHOATE 4E (DREXEL LABEL)       2X2.5     GAL         0         42.010
2930   DISCIPLINE                         15GAL     GAL         0         99.000
2944   9/12 DIVIDEND EXTREME              30GAL     GAL         0        120.000
2950   9/15 DOMARK                        2X2.5     GAL         0        357.000
2950   9/15 DOMARK                        2X2.5     GAL         0        360.240
2951   9/15 DORADO FUNGICIDE              2X2       GAL         0         90.000
2981   DURIVO                             4X128     OZ          0          4.330
2982   DUAL II G MAGNUM                   50LB      LB          0          2.310
2995   9/14 DURHAM METALDEHYDE 3.5G       50LB      LB          0          1.550
3017   ESTABLISH                          BULK      GAL         0        110.770
3017   ESTABLISH                          BULK      GAL         0        102.140
3018   ESTABLISH                          2X2.5     GAL         0        153.380
3019   ESTABLISH                          120GAL    GAL         0        111.370
3021   9/14 TOURNAMENT-READY GRANULAR     40LB      LB          0          1.600
3025   9/15 DURSBAN 50 W (RUP)            8X28      OZ          0          1.140
3030   9/13 DURATION 120 CR UREA 43-0-    50LB      BAG         0         43.900
3034   ESTABLISH ATZ                      BULK      GAL         0         46.970
3036   ESTABLISH ATZ                      120GAL    GAL         0         51.590
3037   ESTABLISH LITE                     BULK      GAL         0         60.730
3042   DYLOX 6.2 G                        30LB      LB          0          1.440
3049   ESTABLISH ATZ                      220GAL    GAL         0         49.630
3066   9/12 EMERALD (FE) LIQUID IRON-N    250GAL    GAL         0          7.000
3085   ECHO ZN                            2X2.5     GAL         0         24.640
3086   ECHO 720                           260GAL    GAL         0         22.940
3095   9/14 ESSENTRIA IC-3 INSECTICIDE    4X1GAL    GAL         0         78.600
3097   9/15 ESCORT XP                     120X2     OZ          0          6.650
3106   9/14 EMPTY-110 (CB TROPHY GOLD)    110GAL    TNK         0          1.000
3114   EPTAM                              135GAL    GAL         0         44.250
3116   ESTABLISH ATZ                      250GAL    GAL         0         51.590
3118   ESTABLISH LITE                     250GAL    GAL         0         66.530
3119   ESTEEM 35 WP(4X10X5OZ PKT)         4X10X1    PKT         0         39.250
3134   EVITO                              4X64OZ    OZ          0          6.980
3137   EVIK DF                            5X10      LB          0          9.730
3137   EVIK DF                            5X10      LB          0          8.660
3142   9/15 EMBARK 2-S IVM                2X2.5     GAL         0        394.500
3149   9/13 ENDURANCE                     5X10      LB          0         16.100
3157   ENHANCE                            8X5       LB          0         15.950
3189   9/14 EQUUS DF                      27.4      LB          0          4.350
3205   EQUUS 720 SST                      2X2.5     GAL         0         23.690
3206   9/15 EQUUS 720 SST                 260GAL    GAL         0         22.940
3212   FACET L                            2X2.5     GAL         0        107.870
3214   FASTAC EC                          15GAL     GAL         0        124.760
3216   FALLOW STAR                        265GAL    GAL         0         15.700
DSCPRD.IN                                                        DATE:   3/07/16
                          DISCOUNT SCHEDULES AND PRICES          PAGE:         7
                              FOR RETAIL PRODUCTS                               


                                          PKG               DISCOUNT     CURRENT
PRD #            DESCRIPTION              SIZE      UOM    SCHEDULE #     PRICE 
=====  ===============================    =====     ===    ==========    =======
3216   FALLOW STAR                        265GAL    GAL         0         15.700
3217   FALLOW STAR                        30GAL     GAL         0         15.700
3219   FALLOW STAR                        2X2.5     GAL         0         16.200
3219   FALLOW STAR                        2X2.5     GAL         0         16.200
3220   FIATA STRESSGARD FUNGICIDE         2X2.5     GAL         0         50.000
3253   FERENCE INSECT. (2X96 FL.OZ.)      2X1       BTL         0      1,585.000
3271   FLEXSTAR GT                        2X2.5     GAL         0         40.650
3271   FLEXSTAR GT                        2X2.5     GAL         0         39.900
3272   9/11 FLEXSTAR GT                   250GAL    GAL         0         38.570
3324   9/14 FLOREL GROWTH REGULATOR       4X1       GAL         0         53.800
3327   9/15 FLO RITE 1127 CONCENTRATE     2X2.38    GAL         0         61.860
3470   9/14 FORUM                         4X1       GAL         0        248.570
3471   FOLICUR 3.6F                       2X2.5     GAL         0        137.700
3476   9/14 FOREFRONT                     2X2.5     GAL         0         49.000
3476   9/14 FOREFRONT                     2X2.5     GAL         0         53.260
3476   9/14 FOREFRONT                     2X2.5     GAL         0         49.000
3477   9/13 FOREFRONT                     30GAL     GAL         0         49.000
3477   9/13 FOREFRONT                     30GAL     GAL         0         49.000
3478   9/13 FOREFRONT                     4X1       GAL         0         51.000
3487   9/12 FOURSOME (GREEN PIGMENT)      12X1QT    QT          0         33.700
3489   FOXFIRE                            2X2.5     GAL         0        150.500
3500   9/12 FORTRESS 5G SMART BOX         50LB      LB          0          4.700
3500   9/12 FORTRESS 5G SMART BOX         50LB      LB          0          4.570
3507   9/13 FREQUENCY HERBICIDE           4X20      OZ          0          7.370
3510   CB GARDIAN WEATHERMAX              220GAL    GAL         0         24.430
3512   9/15 CB GARDIAN WEATHERMAX - RT    110GAL    GAL         0         18.140
3512   9/15 CB GARDIAN WEATHERMAX - RT    110GAL    GAL         0         18.140
3520   CB GARDIAN WEATHERMAX              30GAL     GAL         0         18.450
3530   CB GARDIAN PLUS WEATHERMAX         220GAL    GAL         0          6.770
3532   9/15 CB GARDIAN PLUS WEATHERMAX    110GAL    GAL         0          5.170
3532   9/15 CB GARDIAN PLUS WEATHERMAX    110GAL    GAL         0          5.170
3535   9/12 GAUCHO 600 FS                 4X1       GAL         0        661.530
3537   9/14 GAUCHO XT FS                  2X2.5     GAL         0        297.600
3540   GAUCHO 600 FS                      2X2.5     GAL         0        661.530
3549   9/14 GRANDEVO PTO INSECTICIDE      6X5LB     LB          0         31.000
3550   GUARDSMAN MAX                      BULK      GAL         0         55.420
3551   INSTINCT                           2X2.5     GAL         0         42.000
3551   INSTINCT                           2X2.5     GAL         0         33.640
3552   9/13 INSTINCT                      250GAL    GAL         0         42.000
3552   9/13 INSTINCT                      250GAL    GAL         0         33.120
3554   INSTINCT W/AF                      250GAL    GAL         0         40.540
3563   G-MAX LITE                         BULK      GAL         0         71.660
3567   9/14 FRUITONE L                    4X1       GAL         0        586.600
3568   FRUITONE N                         24X1.2    LB          0         94.850
3569   9/14 FRUIT TREE SPRAY (LIQUID)     12X1      QT          0         19.000
3570   HEADLINE SC                        120GAL    GAL         0        401.650
3573   FRONTIER 6.0EC                     2X2.5     GAL         0         78.100
3574   FULFILL                            6X27.5    OZ          0          6.070
3575   FULTIME                            BULK      GAL         0         38.820
3578   FUNGICIDE VII (DG PRO)             29.1LB    BAG         0         83.800
DSCPRD.IN                                                        DATE:   3/07/16
                          DISCOUNT SCHEDULES AND PRICES          PAGE:         8
                              FOR RETAIL PRODUCTS                               


                                          PKG               DISCOUNT     CURRENT
PRD #            DESCRIPTION              SIZE      UOM    SCHEDULE #     PRICE 
=====  ===============================    =====     ===    ==========    =======
3579   9/05 CB GARDIAN                    2X2.5     GAL         0         15.570
3579   9/05 CB GARDIAN                    2X2.5     GAL         0         15.570
3601   9/14 GREENBLADE TURF COLOR ENHA    4X1       GAL         0        145.000
3605   FUSILADE II (ORNAMENTAL HERB.)     8X1       QT          0         76.940
3611   FYFANON ULV - NON RTN (AG)         55GAL     GAL         0         40.150
3616   FYFANON ULV - RTN                  55GAL     GAL         0         40.000
3630   HORSE & PONY SPRAY                 4X1       GAL         0         37.650
3635   9/09 GLYPHOMATE 41 (W/SURF.)       2X2.5     GAL         0         37.000
3641   9/10 GLYSTAR ORIGINAL              2X2.5     GAL         0         12.370
3641   9/10 GLYSTAR ORIGINAL              2X2.5     GAL         0         17.350
3642   9/12 GLYPHOMAX PLUS                2X2.5     GAL         0         38.709
3642   9/12 GLYPHOMAX PLUS                2X2.5     GAL         0         38.710
3645   9/12 GLEAN FC                      12X20     OZ          0         18.240
3648   9/15 GRAMOXONE INTEON              2X2.5     GAL         0         32.860
3648   9/15 GRAMOXONE INTEON              2X2.5     GAL         0         32.150
3650   9/12 GRAMOXONE INTEON              BULK      GAL         0         28.610
3651   9/15 GRAMOXONE INTEON              120GAL    GAL         0         31.510
3652   9/15 GRAMOXONE SL                  2X2.5     GAL         0         32.150
3653   9/15 GRAMOXONE INTEON              30GAL     GAL         0         29.600
3677   9/11 GLYPHOMAX XRT - BULK          BULK      GAL         0         29.689
3679   GRUB CONTROL-BAYER (.25% MERIT)    12LB      BAG         0         21.130
3682   GRUB KILLER PLUS (BAYER 24 HR.)    10LB      BAG         0         18.860
3683   9/13 GRAZONNEXT                    2X2.5     GAL         0         31.500
3683   9/13 GRAZONNEXT                    2X2.5     GAL         0         31.500
3684   9/15 GRAZONNEXT                    30GAL     GAL         0         30.000
3684   9/15 GRAZONNEXT                    30GAL     GAL         0         30.000
